Answer,Part_id,Sc_id,proportion_valid,Title_numfixations,Title_longestfixation,Title_meanfixationduration,Title_stddevfixationduration,Title_timetofirstfixation,Title_timetolastfixation,Title_proportionnum,Title_proportiontime,Title_fixationrate,Title_totaltimespent,Title_meanpupilsize,Title_stddevpupilsize,Title_maxpupilsize,Title_minpupilsize,Title_startpupilsize,Title_endpupilsize,Title_meanpupilvelocity,Title_stddevpupilvelocity,Title_maxpupilvelocity,Title_minpupilvelocity,Title_meandistance,Title_stddevdistance,Title_maxdistance,Title_mindistance,Title_startdistance,Title_enddistance,Title_proptransfrom_Title,Title_proptransfrom_Content,Content_numfixations,Content_longestfixation,Content_meanfixationduration,Content_stddevfixationduration,Content_timetofirstfixation,Content_timetolastfixation,Content_proportionnum,Content_proportiontime,Content_fixationrate,Content_totaltimespent,Content_meanpupilsize,Content_stddevpupilsize,Content_maxpupilsize,Content_minpupilsize,Content_startpupilsize,Content_endpupilsize,Content_meanpupilvelocity,Content_stddevpupilvelocity,Content_maxpupilvelocity,Content_minpupilvelocity,Content_meandistance,Content_stddevdistance,Content_maxdistance,Content_mindistance,Content_startdistance,Content_enddistance,Content_proptransfrom_Title,Content_proptransfrom_Content
0,P24_01,seg1,0.9611829944547134,2,283,183.0,141.4213562373095,1049260,1382358,0.0714285714285714,4.234204738838648e-05,0.0054644808743169,366,3.9183375,0.1199787581359557,4.027,3.537,3.876,3.9635,2.541992652184259e-06,6.1173526367740736e-06,2.6086695485110465e-05,0.0,703.2012499999997,0.7644746394478763,704.75,701.7,702.25,704.75,0.5,0.5,19,466,200.68421052631572,108.20199866277832,649542,8460686,0.6785714285714286,0.000441120837956,0.004982953055337,3813,3.931703539823012,0.1737273671415688,4.23,2.941,3.737,3.996,1.7439110715704392e-06,3.24529065379522e-06,2.5516330451488968e-05,0.0,701.7749262536872,1.895515474656888,707.55,698.0,706.8,707.4000000000001,0.0625,0.9375
1,P24_01,seg2,1.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,6,233,213.8333333333333,19.477337258123008,233169,2581513,0.6,0.0004303589925238,0.0046765393608729,1283,3.735307692307692,0.1153813363813484,3.94,3.527,3.799,3.648,9.45286662405466e-07,1.3771445244947094e-06,7.985589912939058e-06,3.002101471030723e-08,707.6978632478638,5.90351076567563,718.0999999999999,700.7,702.9000000000001,700.9000000000001,0.0,1.0
0,P24_01,seg3,0.9520833333333332,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,3.5963000000000003,0.6932813361912399,3.9325,2.281,3.927,2.281,8.05763133636644e-06,2.405162679121596e-05,7.649354548183729e-05,0.0,704.945,0.7466406245458694,705.75,703.8,705.75,703.8,0.0,0.0,14,583,279.57142857142856,135.58461126981487,149895,7244895,0.56,0.0005153628561372,0.0035769034236075,3914,3.791072992700734,0.1634014252939078,4.131,3.435,3.626,3.968,1.0650881428489315e-06,1.7423115255029343e-06,1.8133781674072296e-05,0.0,700.859489051095,2.366610169423532,708.15,696.0,706.4,697.9000000000001,0.0,1.0
0,P24_01,seg4,1.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,14,366,197.5,72.54998277050106,466342,5546105,0.6666666666666666,0.0004624416282427,0.0050632911392405,2765,3.4390171673819725,0.0772531645186693,4.041,3.265,3.49,3.379,9.389044118775788e-07,1.757203937846359e-06,1.780246172320627e-05,0.0,705.8293991416308,1.9704510203554784,710.8,701.2,705.25,708.7,0.0,1.0
0,P24_01,seg5,0.9,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,11,333,219.54545454545453,68.5395705215077,482992,3863956,0.9166666666666666,0.0006744259629699,0.0045548654244306,2415,3.977101485148516,0.1520823073428943,4.329,3.6355,3.756,4.0085,1.0559903293465111e-06,1.403187504689173e-06,9.847484087906815e-06,0.0,703.6242574257425,2.4122161510264664,707.4,697.95,698.7,699.8,0.0,1.0
1,P24_01,seg6,0.9907407407407408,1,416,416.0,0.0,2664787,2664787,0.03125,4.677458853541342e-05,0.0024038461538461,416,4.0855,0.024486190585956,4.1275,4.043,4.0825,4.056,6.475912311573385e-07,1.0702597086069668e-06,4.833383368357785e-06,0.0,708.4071428571431,0.8265931904637193,709.65,706.65,709.3,706.65,0.0,1.0,28,416,223.1071428571429,79.23165252539393,116585,8627241,0.875,0.0007024059004344,0.0044821514326876,6247,3.850168454935621,0.2221325649260333,4.172,3.237,3.7,3.462,1.1853238653555683e-06,2.1687432164036342e-06,2.356791161282575e-05,0.0,702.8013948497855,2.251313400818418,710.5,696.7,705.15,696.7,0.04,0.96
1,P24_01,seg7,0.9916666666666668,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,2.616,,2.616,2.616,2.616,2.616,-1.0,-1.0,-1.0,-1.0,699.5,,699.5,699.5,699.5,699.5,0.0,0.0,4,816,370.75,300.61090576801547,499649,5862556,0.25,0.0002501191143793,0.0026972353337828,1483,3.76092156862745,0.2039914910997009,4.3575,3.1885000000000003,3.518,3.603,1.853935862576499e-06,3.75915925519806e-06,2.3416391474031828e-05,0.0,699.0034313725491,1.5802973119807389,704.35,695.2,704.35,697.3,0.0,0.0
1,P24_01,seg8,0.946058091286307,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,13,400,177.0,101.32538346008532,566268,3863934,0.9285714285714286,0.0006086243740175,0.0056497175141242,2301,3.717149999999999,0.1473475083858333,3.9525,2.842,3.9065,3.696,1.784348226662386e-06,4.341775817507858e-06,4.401080756529572e-05,0.0,698.4097368421052,1.4173798146040937,701.9,695.9,700.25,701.4000000000001,0.0,1.0
1,P24_01,seg9,0.9435897435897436,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,38,1016,268.2631578947368,176.17876121505594,83273,12907523,0.9743589743589745,0.0008327529903829,0.0037276829507553,10194,3.5540733427362503,0.1936915947551213,4.053,2.3245,3.7325,3.3035,1.4919724986428917e-06,4.617452412509857e-06,6.952867006904833e-05,0.0,697.1278561354017,1.8413725925166489,701.2,690.3,697.05,696.5,0.0,1.0
1,P24_01,seg10,1.0,0,-1,-1.0,0.0,-1,-1,0.0,0.0,0.0,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,8,333,228.875,76.9330645988539,416373,2847994,0.8888888888888888,0.000610763310704,0.0043691971600218,1831,3.4887034482758628,0.0687116937866242,3.604,3.3355,3.4775,3.56,8.40384181040444e-07,1.2413521996701407e-06,7.68584123934188e-06,0.0,695.853103448276,1.0404195983414726,697.5999999999999,692.8,697.5,697.25,0.0,1.0
